Row,background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
background,93.5018269055076,0.235309341577959,0.267659533337992,0.190333636175791,0.24121963493571,0.176538266739506,0.20186932373464,0.319188911447034,0.465289266604505,0.348681017355212,0.037977404818197,0.518810623901126,0.287467878880886,0.110536408314032,0.18678703024947,1.11145444334752,0.407821981580451,0.0811044900396452,0.677457785795006,0.265259138063975,0.367406977593723
aeroplane,13.7675157037344,77.7956793119314,0.364830131679924,0.0192443273044414,1.24577367431589,0,0.402506699184344,2.73890266943717,1.06853566376687e-05,0.0581176547522803,0,0.080674442614399,0.0287115532854159,0.00276750736915621,1.40563729497205,1.50877235723883,0,0,0.168508074176036,0.315976681132502,0.0963712315151344
bicycle,12.2646706154037,0.0671061104706111,75.2772456078624,0.582021284231269,0.206274747574117,0.0690259374904322,0.00323735536675723,1.38235074160534,2.50957780368777e-05,0.600203175418987,0,0.0539935664463425,0.0460758484757075,0.00166886923945237,6.72127675272678,2.1528036752265,0.563939776155698,0.00461762315878551,0.00276053558405655,0.000702681785032577,0
bird,10.5996178784372,0.0253898994545677,0.0101130472757067,83.6000417109559,0.0184666818004772,0.0310257419250464,0,0,1.64748263080554,0.00862541373019963,0.159720347780115,0,2.76874350322538,0.115363120620332,0.00848237204313165,0.524791341515032,0.222544256740375,0.259592053690983,0,0,0
boat,32.5522325949679,4.06049620415055,0.490022433923852,0.00107903184151975,56.1432619217756,0,0.0393136732785289,2.04817280865315,0.0474774010268692,0.62832308087443,0,0.231182572045607,0.0470088740430514,0,0.0710741236664196,2.75659980597304,0.00032654910993361,0,0.177330364481338,0.674920219083218,0.0311783411049655
bottle,25.6538819420719,0.747303423974511,0.0509983862201368,0.410347967754512,0.0377911557062336,65.3002087324087,0.0333773403272348,1.48824274205372,0.0141139445258681,0.10564073629968,0,0.363335701624712,0.272578761370493,0.0090329244965556,0.620688510718814,3.95363235620927,0.169966107714545,0,0.0237114268034584,0.188168819200028,0.556979020519622
bus,7.02382572090745,0.31286964622374,0.000874286436553366,0,0.279355332822528,0,86.0837329932553,3.69636648222276,0,0.0160868704325819,0,4.99592249459066e-05,0,0.00029975534967544,0.00516245324441035,0.509692339435631,0,0,0.159578091014717,1.56303263819513,0.349073431234541
car,14.7311605486392,0.953704643316182,0.487142595222188,0.0964541008924521,0.299191959473702,0.063109245808423,2.00138460450661,75.0706417545491,0.00368968276848342,0.414526599217493,0.00322906600073195,0.00487209075992792,0.171221224688812,0.0404772920444694,3.00968420636752,1.55608690575273,0.010931338137772,3.32403853016525e-05,0.288925429041963,0.0712911292191012,0.722242343207833
cat,3.55312796889572,0,9.75718110865735e-05,0.452544788909948,0,0.00703862857907282,0,0.00491896509684726,92.3224442855706,0.0283799388453534,0.00605618137778732,0.00149049352797766,2.68499119111596,0.105606345047771,0,0.39324131504057,0.0376257090821087,0.228856365176163,0.135978094657375,0,0.0376021572656395
chair,42.4347678982638,0.424639659838237,0.596683346897656,0.0140771642775927,0.0330613420058244,0.0891192263293533,0.0213766856675626,0.80811869441994,0.427669266209004,32.4971371236443,1.35552857752458e-05,3.25688106971809,0.375237420830353,0.0653635880082351,0.180380187811195,8.89962798873718,0.656753595810658,6.77764288762289e-06,7.45912132468759,0.00481890409309987,1.75514517982171
cow,8.82613035473847,0.00229938436810656,0.0127973933274127,0.0792910658739696,0,0,0,5.65422385599973e-05,0.676640968847488,0,72.7764764686281,0,4.14801401041282,11.5591559977745,0,0.387465113438808,0,1.53167270035177,0,0,0
diningtable,52.5937923490085,0.069192675073203,0.112331919866277,0.00211658011896294,0.0973905352107028,0.520295775361782,0.000362046599296293,0.0650221767466938,0.357277331594024,4.65826560741115,0,37.1335252922969,0.299816358824942,0,0.056367870536592,1.84849157461864,0.24303770464684,0.0011696890131111,1.15564578251916,0,0.785898730553224
dog,4.80112028902131,0,0.00665045161731881,0.253434578029562,0.00024033455143493,0.0143662668432372,0,0.0376858924981399,8.77858896069511,0.0926579372853086,0.500663502716103,0.000846551554308112,81.6564940583918,0.898223482866622,0.0074288485973394,1.75548606658645,0.00314945874865475,0.725932306150635,0.462801843157959,0.00020805080571979,0.00402111988296353
horse,9.63656375789562,0.000113506076718076,0.0152438661032376,0.66353382327853,0,0,0.000181609722748922,0.00236092639573599,2.44920007159963,0.0348236643371058,9.36956341363169,0,2.33054081899856,73.5995875643196,0.0109646870109662,1.57438603711808,0.000272414584123383,0.258850607955573,0,0.0235071084883136,0.0303061224837263
motorbike,9.15034877872133,0.231653777071714,3.62615798616489,0.0289899110585989,0.100481313160367,0.145047892847467,0.0486967569749598,4.29225724514225,0.000639194104073584,0.20072661619,0.00375649458086322,0.0094895740066309,0.0178974349140604,0.00324513929760435,79.99879044808,2.0005497069295,0.00394333593436165,0.000698196636757299,9.83375544728591e-05,0.135381311242785,0.00115054938733245
person,7.74105985197559,0.0490841723930324,0.211328434806757,0.0421439895753122,0.081249504284441,0.153472019164091,0.0942059201343349,0.290371019032006,0.37266854635891,0.434549423281763,0.0097793485158786,0.122682052524882,0.515082206518273,0.442508590720115,0.530468610304155,87.8098856634579,0.00771366078104934,0.00728336416663762,0.934395697836372,0.0693661901140462,0.0807017340544383
pottedplant,35.5453316947081,0,0.264645683014003,1.03345626782611,0.0180340896464867,0.682672778986944,0.00607716390745565,0.024167654147051,0.299219246589597,1.19910480978618,0,0.0941184897500382,0.0492518179321174,0.00102931082423263,0.141227085144027,0.555489441526967,59.863363923135,0,0.212714836909225,0.00125491319666718,0.00884079296977887
sheep,9.38126396526341,0,0.00368437043791399,1.15468169524224,0.00472970344588028,0,0,0,3.18183944678921,0,2.22892415869115,0,5.10309296900451,0.102391224960633,0.0151830335255432,0.109502916736141,0.00538089450002322,78.5848281738152,0.124497447588117,0,0
sofa,32.8111975429501,0.0826599220142966,0.000369795778168388,0.0590141233988437,0.000110938733450516,0.0159910260073673,0,0.0621996498879228,2.11048789956896,4.10221324358073,0.0190920277471508,0.408011530443675,1.58430020401633,0.0249242354485493,8.45247492956315e-05,7.96723947504425,0.149561261081789,0.00366626100069802,50.5702171657404,0,0.0286591728080501
train,17.6096480202989,0.520994946098079,0.0423435257271606,0,0.127535890291899,0.000145598692832065,3.37340180811308,0.876538389364992,0,0.221275754588778,0,0.0369906326083346,0,0.0119990452151602,0.177322078611475,0.340452566986319,0,0,0,76.4526402995428,0.20871144386027
tvmonitor,27.0949177749037,0.00466281697952533,0.214845427617129,0,7.36234259925051e-05,0.0196574547399989,0.573256535919642,0.509572272436126,0.0361368315913213,0.546887078843327,0,0.479337585495203,0,0,0.000920292824906314,0.638646408771986,0.389713334920327,0,0.00418426471057404,0.109073105607896,69.3781151912123
